Northings,Eastings,Managed,Selective_cut,Shoots_dug,Clear_cut,Mix_bamboo,Mix_trees,Expansion,Other_bamboo,Forest,Conifer,Broadleaf,MixedForest,VegType,mean_temp,annual_rainfall,elevation,Tree_DBH,Culmheight_m,Basal_areaM2ha,ABG_biomassTha,CulmTha,LitterfallThayr,Dead_materialTha,ABG_C_stock,Cluster,SOC_Tha,SOC_10cm_px,pH,Soil_water_vv,N_px,BG_biomassTha,BGbiomassTCha,NPPtotal_Tha_yr,NPP_ABG_Tha_yr,NPP_BG_Tha_yr
33.61666667,130.5333333,1,1,1,1,1,1,2,1,1,1,1,1,1,16.6,1632,115.2,6.5745,13.799036,57.1005,130.31678,95.53988013,4.316,97.445,56.37120567,1,76.92,3.966,5.3,18.8632,0.384,52.36012258,24.03077353,15.5615,8.9845,7.768
33.61666667,130.5333333,1,1,1,1,1,1,2,1,1,1,1,1,1,16.6,1632,115.2,5.9385,13.7528825,53.5345,114.2722823,91.62933369,4.176,74.702,48.91973967,1,82.46,5.051,5.168,16.5313,0.2775,53.71237607,31.05402131,12.157,7.91,7.3855
35.58333333,139.5,1,1,1,1,1,1,2,1,1,1,1,1,1,16.6,1600,43.2,6.3515,13.122693,56.9485,117.6631143,99.74742225,4.324,90.9795,60.54098046,1,112.73,4.571,5.2595,10.3857,0.3415,59.29665752,21.78342441,13.257,8.515,7.628
35.58333333,139.5,1,1,1,1,1,1,2,1,1,1,1,1,1,16.6,1600,43.2,5.632,13.48,36.9,77.1365,71.2265,3.866,59.243,46.550666,1,99.115,4.8815,5.2555,10.9303,0.391,43.55090403,27.7989585,13.078,7.088,7.371
35.58333333,139.5,1,1,1,1,1,2,2,1,1,1,2,1,2,16.6,1600,43.2,5.776,14.53,64.531,127.3107496,111.3448337,4.474,119.643,64.475498,1,125.665,5.485,5.534,13.202,0.3565,62.79696881,26.53991791,12.647,8.559,7.6755
33.95,132.1,1,1,1,1,1,1,1,1,1,1,1,1,1,15.8,1712.4,45.6,6.2905,16.604415,86.555,188.5,159.7,5.591,158.0425,90.85005612,1,90.215,7.655,5.474,13.5483,0.3815,42.30068736,28.55972409,12.537,8.835,7.4825
34.06666667,131.7666667,1,1,1,1,1,1,1,1,1,1,1,1,1,14.6,1686,0,6.208,17.3551895,87.905,212.8,187.5,4.9835,164.9325,98.84237779,1,95.185,4.4325,5.4685,11.6027,0.377,53.85881129,33.67757941,13.179,8.8655,6.9255
34.23333333,131.1,1,1,1,1,1,1,1,1,1,1,1,1,1,14.6,1686,177.3,6.864,17.1488465,69.9095,117.2,102.3,6.403,92.9665,54.66267067,1,75.345,4.19,5.192,17.0102,0.308,57.01718736,30.00477909,14.1415,8.6125,6.8955
33.61666667,130.5333333,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,280,6.752,11.51,28.227,63.07578009,53.18919006,5.9775,18.3,28.3,1,37.2,3.9415,5.33,0.264,0.291,25.4,10.5616375,15.379,5.8045,6.6935
33.61666667,130.5333333,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,230,6.3575,13.212693,49.396,115.8989599,86.1655,5.44,24.7,52,1,50.2,3.832,5.33,0.264,0.355,14.5,6.02928125,15.45,7.96,7.5
33.61666667,130.5333333,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,180,7.015,13.9788465,57.86,176.5230312,124.1741803,5.4365,27.2,79.2,1,46.9,4.7395,5.33,0.264,0.324,20.8,8.6489,12.436,8.353,7.1205
33.61666667,130.5333333,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,185,5.1085,12.3,69.52,166.2,110.9103337,5.95,102.944,77.661263,1,88.135,3.48,5.49,30.8,0.27,30.91,22.57949888,17.22,10.25,6.97
33.61666667,130.5333333,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,212,6.77,12.3,43.5415,122.8,80.5265,6.53,91.691,54.15408633,1,64.645,3.85,5.79,31.7,0.31,25.22,22.43738784,14.46,7.79,6.67
